Date,Name,Year,Letterboxd URI,Rating
2022-04-13,The Ruins,2008,https://boxd.it/2KtEv7,5
2022-04-13,Ready Player One,2018,https://boxd.it/2KtCsP,5
2023-02-20,Spirited Away,2001,https://boxd.it/3SJXIV,5
2023-02-20,Everything Everywhere All at Once,2022,https://boxd.it/3SDFFd,4.5
2023-02-24,Plane,2023,https://boxd.it/3TTo9v,3.5
2023-03-04,The Evil Dead,1981,https://boxd.it/3VXbLR,4
2023-03-04,Evil Dead II,1987,https://boxd.it/3VZ9E9,4
2023-03-06,Chappie,2015,https://boxd.it/3WzJ81,4.5
2023-03-09,Scream,1996,https://boxd.it/3Xmdcj,3.5
2023-03-16,Cocaine Bear,2023,https://boxd.it/3ZoNUj,4
2023-03-24,65,2023,https://boxd.it/41tNBJ,3.5
2023-03-24,Devil,2010,https://boxd.it/41wwDT,3.5
2023-04-01,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/43xLcD,4
2023-04-10,Chupa,2023,https://boxd.it/46fWmZ,2.5
2023-04-22,The Fog,1980,https://boxd.it/49mbDF,Not rated yet
2023-04-25,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/4a9Xgd,4
2023-04-25,The Last Shift,2020,https://boxd.it/4ahwUr,2
2023-05-10,Simulant,2023,https://boxd.it/4ekBi5,3
Date,Name,Year,Letterboxd URI,Rating
2022-04-13,A-X-L,2018,https://boxd.it/fA5U,4
2022-04-13,CODA,2021,https://boxd.it/tbf4,3.5
2022-04-13,Godzilla vs. Kong,2021,https://boxd.it/e0qK,5
2022-04-13,Jolt,2021,https://boxd.it/mQk6,4
2022-04-13,Moonshot,2022,https://boxd.it/sQRG,4
2022-04-13,Ready Player One,2018,https://boxd.it/aZes,5
2022-04-13,Black Panther,2018,https://boxd.it/8MHs,5
2022-04-13,Spider-Man,2002,https://boxd.it/2a8i,5
2022-04-13,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,5
2022-04-13,Spider-Man: Homecoming,2017,https://boxd.it/aboM,5
2022-04-13,Spider-Man: Far from Home,2019,https://boxd.it/fegG,5
2022-04-13,Spider-Man 2,2004,https://boxd.it/2a88,5
2022-04-13,The Amazing Spider-Man,2012,https://boxd.it/27PI,5
2022-04-13,Spider-Man 3,2007,https://boxd.it/2a7Y,5
2022-04-13,Iron Man,2008,https://boxd.it/28dA,5
2022-04-13,Iron Man 2,2010,https://boxd.it/1WZM,5
2022-04-13,Iron Man 3,2013,https://boxd.it/2cBQ,5
2022-04-13,The Ruins,2008,https://boxd.it/1UvA,5
2022-04-13,Sonic the Hedgehog,2020,https://boxd.it/gdK8,3.5
2022-04-13,The Conjuring: The Devil Made Me Do It,2021,https://boxd.it/eXZY,5
2022-04-13,The Conjuring,2013,https://boxd.it/4sr2,5
2023-02-19,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4.5
2023-02-19,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/20VE,4
2023-02-19,The Space Between Us,2017,https://boxd.it/cF0u,3.5
2023-02-19,Dune,2021,https://boxd.it/fA7G,4
2023-02-19,Spirited Away,2001,https://boxd.it/2b4m,5
2023-02-19,Bad Boys for Life,2020,https://boxd.it/15pc,3.5
2023-02-19,Mission: Impossible,1996,https://boxd.it/29d2,3.5
2023-02-19,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2023-02-19,Chaos Walking,2021,https://boxd.it/ey2M,3
2023-02-19,The Fly,1986,https://boxd.it/1YIe,5
2023-02-19,The Maze Runner,2014,https://boxd.it/5YPM,5
2023-02-19,M3GAN,2022,https://boxd.it/jxmG,3.5
